
---------- Begin Simulation Statistics ----------
simSeconds                                   5.811555                       # Number of seconds simulated (Second)
system.cpu.MemDepUnit__0.conflictingStores      2160873                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__1.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__2.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__3.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.branchPred.lookups               117575471                       # Number of BP lookups (Count)
system.cpu.branchPred.condPredicted         110086256                       # Number of conditional branches predicted (Count)
system.cpu.branchPred.condIncorrect           1799654                       # Number of conditional branches incorrect (Count)
system.cpu.branchPred.BTBLookups             68863653                       # Number of BTB lookups (Count)
system.cpu.branchPred.BTBUpdates               902376                       # Number of BTB updates (Count)
system.cpu.branchPred.BTBHits                68860712                       # Number of BTB hits (Count)
system.cpu.branchPred.BTBHitRatio            0.999957                       # BTB Hit Ratio (Ratio)
system.cpu.branchPred.RASUsed                 2837157                       # Number of times the RAS was used to get a target. (Count)
system.cpu.branchPred.RASIncorrect               1305                       # Number of incorrect RAS predictions. (Count)
system.cpu.branchPred.indirectLookups            1865                       # Number of indirect predictor lookups. (Count)
system.cpu.branchPred.indirectHits               1373                       # Number of indirect target hits. (Count)
system.cpu.branchPred.indirectMisses              492                       # Number of indirect misses. (Count)
system.cpu.branchPred.indirectMispredicted          143                       # Number of mispredicted indirect branches. (Count)
system.cpu.commit.commitSquashedInsts        90139610                       # The number of squashed insts skipped by commit (Count)
system.cpu.commit.commitNonSpecStalls             508                       # The number of times commit has been forced to stall to communicate backwards (Count)
system.cpu.commit.branchMispredicts           1798779                       # The number of times a branch was mispredicted (Count)
system.cpu.commit.numCommittedDist::samples   5799387636                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::mean     1.414230                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::stdev     2.798438                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::0      4137759092     71.35%     71.35% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::1       475253750      8.19%     79.54% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::2       135318709      2.33%     81.88% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::3       104336543      1.80%     83.68% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::4        49592451      0.86%     84.53% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::5        46402439      0.80%     85.33% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::6        30631227      0.53%     85.86% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::7        32151294      0.55%     86.41% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::8       787942131     13.59%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::max_value            8                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::total   5799387636                       # Number of insts commited each cycle (Count)
system.cpu.commit.instsCommitted           8201666231                       # Number of instructions committed (Count)
system.cpu.commit.opsCommitted             8201666264                       # Number of ops (including micro ops) committed (Count)
system.cpu.commit.memRefs                  1606583373                       # Number of memory references committed (Count)
system.cpu.commit.loads                    1007795782                       # Number of loads committed (Count)
system.cpu.commit.amos                             35                       # Number of atomic instructions committed (Count)
system.cpu.commit.membars                          54                       # Number of memory barriers committed (Count)
system.cpu.commit.branches                  111666085                       # Number of branches committed (Count)
system.cpu.commit.vectorInstructions                0                       # Number of committed Vector instructions. (Count)
system.cpu.commit.floating                 7420753390                       # Number of committed floating point instructions. (Count)
system.cpu.commit.integer                  4072422078                       # Number of committed integer instructions. (Count)
system.cpu.commit.functionCalls               2628353                       # Number of function calls committed. (Count)
system.cpu.commit.committedInstType_0::No_OpClass           95      0.00%      0.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntAlu    716092571      8.73%      8.73% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntMult          394      0.00%      8.73% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntDiv       600124      0.01%      8.74% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatAdd   2577832880     31.43%     40.17% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatCmp      8406266      0.10%     40.27% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatCvt   1742369676     21.24%     61.52% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMult   1497882880     18.26%     79.78% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMultAcc            0      0.00%     79.78% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatDiv     51296720      0.63%     80.40% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMisc       601281      0.01%     80.41% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatSqrt            4      0.00%     80.41% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAdd            0      0.00%     80.41% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAddAcc            0      0.00%     80.41% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAlu            0      0.00%     80.41% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdCmp            0      0.00%     80.41% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdCvt            0      0.00%     80.41% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdMisc            0      0.00%     80.41% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdMult            0      0.00%     80.41% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdMultAcc            0      0.00%     80.41% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShift            0      0.00%     80.41% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShiftAcc            0      0.00%     80.41% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdDiv            0      0.00%     80.41% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdSqrt            0      0.00%     80.41% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatAdd            0      0.00%     80.41% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatAlu            0      0.00%     80.41% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatCmp            0      0.00%     80.41% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatCvt            0      0.00%     80.41% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatDiv            0      0.00%     80.41% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatMisc            0      0.00%     80.41% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatMult            0      0.00%     80.41% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatMultAcc            0      0.00%     80.41% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatSqrt            0      0.00%     80.41% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdReduceAdd            0      0.00%     80.41% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdReduceAlu            0      0.00%     80.41% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdReduceCmp            0      0.00%     80.41% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatReduceAdd            0      0.00%     80.41% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatReduceCmp            0      0.00%     80.41% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAes            0      0.00%     80.41% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAesMix            0      0.00%     80.41% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdSha1Hash            0      0.00%     80.41% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdSha1Hash2            0      0.00%     80.41% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdSha256Hash            0      0.00%     80.41% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdSha256Hash2            0      0.00%     80.41% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShaSigma2            0      0.00%     80.41% # Class of committed instruction (Count)
