
---------- Begin Simulation Statistics ----------
simSeconds                                   0.007810                       # Number of seconds simulated (Second)
system.cpu.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__2.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__3.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.branchPred.lookups                 4956982                       # Number of BP lookups (Count)
system.cpu.branchPred.condPredicted           3633481                       # Number of conditional branches predicted (Count)
system.cpu.branchPred.condIncorrect            205197                       # Number of conditional branches incorrect (Count)
system.cpu.branchPred.BTBLookups              2256256                       # Number of BTB lookups (Count)
system.cpu.branchPred.BTBUpdates               113191                       # Number of BTB updates (Count)
system.cpu.branchPred.BTBHits                 2094222                       # Number of BTB hits (Count)
system.cpu.branchPred.BTBHitRatio            0.928185                       # BTB Hit Ratio (Ratio)
system.cpu.branchPred.RASUsed                  401823                       # Number of times the RAS was used to get a target. (Count)
system.cpu.branchPred.RASIncorrect               4158                       # Number of incorrect RAS predictions. (Count)
system.cpu.branchPred.indirectLookups          368674                       # Number of indirect predictor lookups. (Count)
system.cpu.branchPred.indirectHits             225579                       # Number of indirect target hits. (Count)
system.cpu.branchPred.indirectMisses           143095                       # Number of indirect misses. (Count)
system.cpu.branchPred.indirectMispredicted        41713                       # Number of mispredicted indirect branches. (Count)
system.cpu.commit.commitSquashedInsts         4323952                       # The number of squashed insts skipped by commit (Count)
system.cpu.commit.commitNonSpecStalls            3142                       # The number of times commit has been forced to stall to communicate backwards (Count)
system.cpu.commit.branchMispredicts            174963                       # The number of times a branch was mispredicted (Count)
system.cpu.commit.numCommittedDist::samples      6627724                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::mean     2.557334                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::stdev     3.110538                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::0         2765856     41.73%     41.73% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::1          986200     14.88%     56.61% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::2          537388      8.11%     64.72% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::3          395507      5.97%     70.69% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::4          229020      3.46%     74.14% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::5          161855      2.44%     76.58% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::6          162345      2.45%     79.03% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::7          114042      1.72%     80.75% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::8         1275511     19.25%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::max_value            8                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::total      6627724                       # Number of insts commited each cycle (Count)
system.cpu.commit.instsCommitted             16948263                       # Number of instructions committed (Count)
system.cpu.commit.opsCommitted               16949304                       # Number of ops (including micro ops) committed (Count)
system.cpu.commit.memRefs                     6132666                       # Number of memory references committed (Count)
system.cpu.commit.loads                       3779683                       # Number of loads committed (Count)
system.cpu.commit.amos                           1944                       # Number of atomic instructions committed (Count)
system.cpu.commit.membars                        1098                       # Number of memory barriers committed (Count)
system.cpu.commit.branches                    3287829                       # Number of branches committed (Count)
system.cpu.commit.vectorInstructions                0                       # Number of committed Vector instructions. (Count)
system.cpu.commit.floating                        278                       # Number of committed floating point instructions. (Count)
system.cpu.commit.integer                    16746894                       # Number of committed integer instructions. (Count)
system.cpu.commit.functionCalls                271692                       # Number of function calls committed. (Count)
system.cpu.commit.committedInstType_0::No_OpClass         1098      0.01%      0.01% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntAlu     10772039     63.55%     63.56% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntMult        39149      0.23%     63.79% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntDiv         4194      0.02%     63.82% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatAdd            5      0.00%     63.82% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatCmp           16      0.00%     63.82% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatCvt           85      0.00%     63.82% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMult           48      0.00%     63.82% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMultAcc            0      0.00%     63.82% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatDiv            1      0.00%     63.82% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMisc            3      0.00%     63.82% # Class of committed instruction (Count)
