
---------- Begin Simulation Statistics ----------
simSeconds                                   7.866593                       # Number of seconds simulated (Second)
system.cpu0.MemDepUnit__1.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu0.MemDepUnit__2.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__2.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu0.MemDepUnit__3.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__3.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu0.branchPred.lookups             2674658280                       # Number of BP lookups (Count)
system.cpu0.branchPred.condPredicted       2606214336                       # Number of conditional branches predicted (Count)
system.cpu0.branchPred.condIncorrect          8804458                       # Number of conditional branches incorrect (Count)
system.cpu0.branchPred.BTBLookups          1291982424                       # Number of BTB lookups (Count)
system.cpu0.branchPred.BTBUpdates             3807941                       # Number of BTB updates (Count)
system.cpu0.branchPred.BTBHits             1291131738                       # Number of BTB hits (Count)
system.cpu0.branchPred.BTBHitRatio           0.999342                       # BTB Hit Ratio (Ratio)
system.cpu0.branchPred.RASUsed               15608240                       # Number of times the RAS was used to get a target. (Count)
system.cpu0.branchPred.RASIncorrect              3090                       # Number of incorrect RAS predictions. (Count)
system.cpu0.branchPred.indirectLookups        7798319                       # Number of indirect predictor lookups. (Count)
system.cpu0.branchPred.indirectHits           7453928                       # Number of indirect target hits. (Count)
system.cpu0.branchPred.indirectMisses          344391                       # Number of indirect misses. (Count)
system.cpu0.branchPred.indirectMispredicted        39359                       # Number of mispredicted indirect branches. (Count)
system.cpu0.commit.commitSquashedInsts      175856986                       # The number of squashed insts skipped by commit (Count)
system.cpu0.commit.commitNonSpecStalls         979413                       # The number of times commit has been forced to stall to communicate backwards (Count)
system.cpu0.commit.branchMispredicts          6881544                       # The number of times a branch was mispredicted (Count)
system.cpu0.commit.numCommittedDist::samples   7838639407                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::mean     1.549143                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::stdev     2.479870                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::0     4537958918     57.89%     57.89% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::1     1075891885     13.73%     71.62% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::2      361334627      4.61%     76.23% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::3      248836593      3.17%     79.40% # Number of insts commited each cycle (Count)
