
---------- Begin Simulation Statistics ----------
simSeconds                                   7.477716                       # Number of seconds simulated (Second)
system.cpu0.fpInstQueueWrites              1076870507                       # Number of floating instruction queue writes (Count)
system.cpu0.fpInstQueueWakeupAccesses      1006517321                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu0.vecInstQueueReads                       0                       # Number of vector instruction queue reads (Count)
system.cpu0.vecInstQueueWrites                      0                       # Number of vector instruction queue writes (Count)
system.cpu0.vecInstQueueWakeupAccesses              0                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu0.intAluAccesses                11497818823                       # Number of integer alu accesses (Count)
system.cpu0.fpAluAccesses                  1296555446                       # Number of floating point alu accesses (Count)
system.cpu0.vecAluAccesses                          0                       # Number of vector alu accesses (Count)
system.cpu0.numInsts                      11984960568                       # Number of executed instructions (Count)
system.cpu0.numLoadInsts                   1789122379                       # Number of load instructions executed (Count)
system.cpu0.numSquashedInsts                 37237086                       # Number of squashed instructions skipped in execute (Count)
system.cpu0.numSwp                                  0                       # Number of swp insts executed (Count)
system.cpu0.numNop                                  0                       # Number of nop insts executed (Count)
system.cpu0.numRefs                        3310658090                       # Number of memory reference insts executed (Count)
system.cpu0.numBranches                    2364169749                       # Number of branches executed (Count)
system.cpu0.numStoreInsts                  1521535711                       # Number of stores executed (Count)
system.cpu0.numRate                          1.602757                       # Inst execution rate ((Count/Cycle))
system.cpu0.timesIdled                          66510                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu0.idleCycles                        3854474                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu0.committedInsts                11575227979                       # Number of Instructions Simulated (Count)
system.cpu0.committedOps                  11575256707                       # Number of Ops (including micro ops) Simulated (Count)
system.cpu0.cpi                              0.646010                       # CPI: Cycles Per Instruction ((Cycle/Count))
system.cpu0.totalCpi                         0.646010                       # CPI: Total CPI of All Threads ((Cycle/Count))
system.cpu0.ipc                              1.547963                       # IPC: Instructions Per Cycle ((Count/Cycle))
system.cpu0.totalIpc                         1.547963                       # IPC: Total IPC of All Threads ((Count/Cycle))
system.cpu0.intRegfileReads               17246069565                       # Number of integer regfile reads (Count)
system.cpu0.intRegfileWrites               7426233865                       # Number of integer regfile writes (Count)
system.cpu0.fpRegfileReads                 1062609644                       # Number of floating regfile reads (Count)
system.cpu0.fpRegfileWrites                 677455491                       # Number of floating regfile writes (Count)
system.cpu0.miscRegfileReads               1682813623                       # number of misc regfile reads (Count)
system.cpu0.miscRegfileWrites               885559292                       # number of misc regfile writes (Count)
system.cpu0.MemDepUnit__0.insertedLoads    1819750524                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__0.insertedStores   1544944583                       # Number of stores inserted to the mem dependence unit. (Count)
