
---------- Begin Simulation Statistics ----------
simSeconds                                  13.085471                       # Number of seconds simulated (Second)
system.cpu.fpAluAccesses                   9169660984                       # Number of floating point alu accesses (Count)
system.cpu.vecAluAccesses                           0                       # Number of vector alu accesses (Count)
system.cpu.numInsts                       22477316732                       # Number of executed instructions (Count)
system.cpu.numLoadInsts                    4890781001                       # Number of load instructions executed (Count)
system.cpu.numSquashedInsts                  39707075                       # Number of squashed instructions skipped in execute (Count)
system.cpu.numSwp                                   0                       # Number of swp insts executed (Count)
system.cpu.numNop                                   0                       # Number of nop insts executed (Count)
system.cpu.numRefs                         6355816201                       # Number of memory reference insts executed (Count)
system.cpu.numBranches                     3720411490                       # Number of branches executed (Count)
system.cpu.numStoreInsts                   1465035200                       # Number of stores executed (Count)
system.cpu.numRate                           1.717731                       # Inst execution rate ((Count/Cycle))
system.cpu.timesIdled                          862816                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu.idleCycles                        30316379                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu.committedInsts                 22143747683                       # Number of Instructions Simulated (Count)
system.cpu.committedOps                   22143752235                       # Number of Ops (including micro ops) Simulated (Count)
system.cpu.cpi                               0.590933                       # CPI: Cycles Per Instruction ((Cycle/Count))
system.cpu.totalCpi                          0.590933                       # CPI: Total CPI of All Threads ((Cycle/Count))
system.cpu.ipc                               1.692239                       # IPC: Instructions Per Cycle ((Count/Cycle))
system.cpu.totalIpc                          1.692239                       # IPC: Total IPC of All Threads ((Count/Cycle))
system.cpu.intRegfileReads                25524262150                       # Number of integer regfile reads (Count)
system.cpu.intRegfileWrites               11232265855                       # Number of integer regfile writes (Count)
system.cpu.fpRegfileReads                  9014581865                       # Number of floating regfile reads (Count)
system.cpu.fpRegfileWrites                 6074334840                       # Number of floating regfile writes (Count)
system.cpu.miscRegfileReads               14201239809                       # number of misc regfile reads (Count)
system.cpu.miscRegfileWrites               8059604488                       # number of misc regfile writes (Count)
system.cpu.MemDepUnit__0.insertedLoads     4873349060                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.insertedStores    1483783702                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.conflictingLoads    242000505                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__0.conflictingStores    183001618                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__1.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__2.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__3.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.branchPred.lookups              3841148535                       # Number of BP lookups (Count)
system.cpu.branchPred.condPredicted        3584444525                       # Number of conditional branches predicted (Count)
system.cpu.branchPred.condIncorrect          21395824                       # Number of conditional branches incorrect (Count)
system.cpu.branchPred.BTBLookups           1823121770                       # Number of BTB lookups (Count)
system.cpu.branchPred.BTBUpdates              8167225                       # Number of BTB updates (Count)
system.cpu.branchPred.BTBHits              1820059290                       # Number of BTB hits (Count)
system.cpu.branchPred.BTBHitRatio            0.998320                       # BTB Hit Ratio (Ratio)
system.cpu.branchPred.RASUsed                86999783                       # Number of times the RAS was used to get a target. (Count)
system.cpu.branchPred.RASIncorrect              18046                       # Number of incorrect RAS predictions. (Count)
system.cpu.branchPred.indirectLookups        76078421                       # Number of indirect predictor lookups. (Count)
system.cpu.branchPred.indirectHits           68225055                       # Number of indirect target hits. (Count)
system.cpu.branchPred.indirectMisses          7853366                       # Number of indirect misses. (Count)
system.cpu.branchPred.indirectMispredicted      2059542                       # Number of mispredicted indirect branches. (Count)
system.cpu.commit.commitSquashedInsts       480758500                       # The number of squashed insts skipped by commit (Count)
system.cpu.commit.commitNonSpecStalls        21839853                       # The number of times commit has been forced to stall to communicate backwards (Count)
system.cpu.commit.branchMispredicts          19110612                       # The number of times a branch was mispredicted (Count)
system.cpu.commit.numCommittedDist::samples  12983516444                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::mean     1.705528                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::stdev     2.656073                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::0      7354562293     56.65%     56.65% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::1      1709076398     13.16%     69.81% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::2       614020341      4.73%     74.54% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::3       557529182      4.29%     78.83% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::4       759755864      5.85%     84.68% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::5       253505521      1.95%     86.64% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::6       218267207      1.68%     88.32% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::7       216503798      1.67%     89.99% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::8      1300295840     10.01%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::max_value            8                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::total  12983516444                       # Number of insts commited each cycle (Count)
system.cpu.commit.instsCommitted          22143747683                       # Number of instructions committed (Count)
system.cpu.commit.opsCommitted            22143752235                       # Number of ops (including micro ops) committed (Count)
system.cpu.commit.memRefs                  6227496998                       # Number of memory references committed (Count)
system.cpu.commit.loads                    4776345212                       # Number of loads committed (Count)
system.cpu.commit.amos                           7417                       # Number of atomic instructions committed (Count)
system.cpu.commit.membars                        6408                       # Number of memory barriers committed (Count)
system.cpu.commit.branches                 3677895980                       # Number of branches committed (Count)
system.cpu.commit.vectorInstructions                0                       # Number of committed Vector instructions. (Count)
system.cpu.commit.floating                 7217000641                       # Number of committed floating point instructions. (Count)
system.cpu.commit.integer                 18804862435                       # Number of committed integer instructions. (Count)
system.cpu.commit.functionCalls              83634702                       # Number of function calls committed. (Count)
system.cpu.commit.committedInstType_0::No_OpClass     21814784      0.10%      0.10% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntAlu  11687349453     52.78%     52.88% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntMult    171150821      0.77%     53.65% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntDiv      6137935      0.03%     53.68% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatAdd    948339254      4.28%     57.96% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatCmp    467092514      2.11%     60.07% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatCvt    451995092      2.04%     62.11% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMult    803149004      3.63%     65.74% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMultAcc    931248157      4.21%     69.94% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatDiv    145449445      0.66%     70.60% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMisc    258985665      1.17%     71.77% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatSqrt     23543113      0.11%     71.88% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAdd            0      0.00%     71.88% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAddAcc            0      0.00%     71.88% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAlu            0      0.00%     71.88% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdCmp            0      0.00%     71.88% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdCvt            0      0.00%     71.88% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdMisc            0      0.00%     71.88% # Class of committed instruction (Count)
