
---------- Begin Simulation Statistics ----------
simSeconds                                  13.399107                       # Number of seconds simulated (Second)
system.cpu.MemDepUnit__1.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__2.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__3.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.branchPred.lookups               804258180                       # Number of BP lookups (Count)
system.cpu.branchPred.condPredicted         740770992                       # Number of conditional branches predicted (Count)
system.cpu.branchPred.condIncorrect           1914233                       # Number of conditional branches incorrect (Count)
system.cpu.branchPred.BTBLookups            585816942                       # Number of BTB lookups (Count)
system.cpu.branchPred.BTBUpdates               117037                       # Number of BTB updates (Count)
system.cpu.branchPred.BTBHits               585802316                       # Number of BTB hits (Count)
system.cpu.branchPred.BTBHitRatio            0.999975                       # BTB Hit Ratio (Ratio)
system.cpu.branchPred.RASUsed                24278070                       # Number of times the RAS was used to get a target. (Count)
system.cpu.branchPred.RASIncorrect                228                       # Number of incorrect RAS predictions. (Count)
system.cpu.branchPred.indirectLookups            5130                       # Number of indirect predictor lookups. (Count)
system.cpu.branchPred.indirectHits               2060                       # Number of indirect target hits. (Count)
system.cpu.branchPred.indirectMisses             3070                       # Number of indirect misses. (Count)
system.cpu.branchPred.indirectMispredicted          684                       # Number of mispredicted indirect branches. (Count)
system.cpu.commit.commitSquashedInsts        37459415                       # The number of squashed insts skipped by commit (Count)
system.cpu.commit.commitNonSpecStalls            1137                       # The number of times commit has been forced to stall to communicate backwards (Count)
system.cpu.commit.branchMispredicts           1910595                       # The number of times a branch was mispredicted (Count)
system.cpu.commit.numCommittedDist::samples  13393036647                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::mean     1.343463                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::stdev     2.668491                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::0      9913171682     74.02%     74.02% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::1       552582304      4.13%     78.14% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::2       432515184      3.23%     81.37% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::3       244492379      1.83%     83.20% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::4       196624339      1.47%     84.67% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::5       132263387      0.99%     85.65% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::6       146326492      1.09%     86.75% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::7       684304984      5.11%     91.86% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::8      1090755896      8.14%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::max_value            8                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::total  13393036647                       # Number of insts commited each cycle (Count)
system.cpu.commit.instsCommitted          17993044845                       # Number of instructions committed (Count)
system.cpu.commit.opsCommitted            17993045108                       # Number of ops (including micro ops) committed (Count)
system.cpu.commit.memRefs                  5882664621                       # Number of memory references committed (Count)
system.cpu.commit.loads                    4978073200                       # Number of loads committed (Count)
system.cpu.commit.amos                            270                       # Number of atomic instructions committed (Count)
system.cpu.commit.membars                         312                       # Number of memory barriers committed (Count)
system.cpu.commit.branches                  790649069                       # Number of branches committed (Count)
system.cpu.commit.vectorInstructions                0                       # Number of committed Vector instructions. (Count)
system.cpu.commit.floating                 9757277746                       # Number of committed floating point instructions. (Count)
